73469	4754
477977	10112
621878	3371
73466	2162
504184	5820
185101	7335
337735	9334
148159	2342
628157	5336
616772	7090
286894	5862
581357	5459
132641	1639
677026	7717
131597	1138
435486	10433
213577	7271
103541	93
594510	6272
379759	10283
260524	7116
43875	4364
120430	1195
498606	7981
717621	8882
262031	5978
693056	10252
439943	5582
397637	9384
53905	5910
27371	14
439941	10365
401246	7262
441774	586
232174	6533
236446	9612
279851	10270
624812	2311
176734	5588
177642	8329
75945	4412
150192	8854
515067	2109
328262	7205
486805	3382
557576	9318
57299	2963
501807	8682
454444	6354
195511	2583
326793	3400
51844	6930
366159	3692
578970	3039
130463	9226
88027	689
331531	6917
578974	7606
293465	978
266928	7618
592324	4988
545968	1331
545965	409
26398	3475
309279	867
629024	5066
579377	8323
579375	3053
536612	2237
107536	1812
628841	2067
628847	2563
546044	10181
441368	6620
436706	3423
401655	2288
610618	3500
103892	10339
711169	7543
500609	2864
353268	9929
363522	362
358504	1298
708123	3274
309052	6895
488564	5700
124354	9806
588753	10236
309058	3102
315386	6834
349353	4245
694552	7316
707839	2379
513587	3460
190337	8588
197455	343
226126	1837
445281	4727
157076	7819
204398	5806
518001	1310
484409	5832
518004	652
36842	3217
167469	8730
2686	765
232261	457
278068	204
528825	5526
415433	2079
71288	761
75038	7025
469278	5050
126002	7035
538706	7173
38648	7349
87961	6688
363380	968
489902	10354
149752	6878
614040	1257
380585	1183
705096	734
114225	9538
422088	401
427569	3292
233550	8248
458894	7265
352789	1959
108829	9321
584119	3561
61749	3444
395724	1391
611817	8975
256125	7863
648487	8499
961	10473
308020	9361
521165	4824
348778	6613
482588	8535
290480	1471
705540	1210
270932	6690
186611	1042
120432	6321
604136	4833
432135	7572
216797	5819
29763	10069
487031	9549
147695	580
370002	1868
692606	10070
382989	8453
217266	5435
648260	5314
179857	1228
179854	1227
146178	8523
453437	9959
169023	3270
27612	3515
621239	8081
519518	10250
156030	1739
561269	6885
326372	336
164309	8816
381185	6217
687970	10003
171418	964
359104	10349
208186	1447
72255	7747
72706	4620
511750	9965
503721	79
406290	2105
401019	6819
638243	4967
532447	1773
365440	1223
15283	7063
107093	2791
95946	6715
568392	9924
629143	3004
706019	6070
399004	5182
361830	3437
399001	1605
126600	1701
16760	6130
288684	7559
145436	6136
23654	9084
543813	6601
323276	8339
270314	5638
55626	9588
543818	2525
131473	1300
341526	6992
80413	8703
546823	419
66125	1799
381725	157
516405	2881
224436	10183
381723	3600
26560	3787
425464	9171
110941	7034
304222	1744
130875	5684
242613	9772
182591	317
373062	289
127732	5198
214531	3294
635180	6973
312070	10028
424488	9242
502301	9346
551428	9176
669176	6956
184505	6654
551427	10048
398	359
477568	9282
558703	8778
327767	3188
465185	2845
159095	6874
406035	9281
5845	3037
505588	7840
403510	8992
104278	4438
553738	10170
180682	6230
425683	886
686172	6277
527004	6320
